title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2021 Tata Nexon XZA Plus (O) AMT Diesel,₹9.97 Lakh,"Malleswaram, Bangalore",Jan 2021,Comprehensive,Diesel,"12,758 Kms",Bangalore,First Owner
2021 Kia Sonet HTX Turbo iMT,₹9.98 Lakh,"Yelahanka, Bangalore",Feb 2021,Comprehensive,Petrol,"9,424 Kms",Bangalore,First Owner
2023 Audi Q5 Technology,₹72 Lakh,"R T Nagar, Bangalore",Dec 2023,Comprehensive,Petrol,"3,000 Kms",Bangalore,First Owner
2020 Hyundai i20 Asta Turbo iMT,₹8.39 Lakh,"Yelahanka, Bangalore",Nov 2020,Comprehensive,Petrol,"13,539 Kms",Mysore,First Owner
2015 Maruti Celerio VXI AT,₹3.65 Lakh,"Btm Layout, Bangalore",Dec 2015,Comprehensive,Petrol,"57,742 Kms",Bangalore,Second Owner
2019 Mercedes-Benz GLC 220d 4MATIC,₹43 Lakh,"R T Nagar, Bangalore",Oct 2019,Comprehensive,Diesel,"50,000 Kms",Bangalore,First Owner
2018 Maruti Alto K10 VXI Optional,₹3.40 Lakh,"Jakkur, Bangalore",Mar 2018,Comprehensive,Petrol,"33,629 Kms",Bangalore,Second Owner
2015 Hyundai Grand i10 1.2 Kappa Asta,₹4.32 Lakh,"Yelahanka, Bangalore",Feb 2015,Comprehensive,Petrol,"39,718 Kms",Bangalore,Third Owner
2021 MG Hector Plus Sharp Hybrid MT,₹15.67 Lakh,"R T Nagar, Bangalore",Mar 2021,Comprehensive,Petrol,"22,497 Kms",Bangalore,First Owner
2017 Tata Tiago 1.2 Revotron XZA,₹5.09 Lakh,"Malleswaram, Bangalore",Oct 2017,Comprehensive,Petrol,"45,947 Kms",Bangalore,First Owner
2015 Maruti Wagon R VXI 1.2,₹3.29 Lakh,"Yelahanka, Bangalore",Jun 2015,Comprehensive,Petrol,"23,364 Kms",Bangalore,Third Owner
2010 Hyundai i20 1.4 Asta AT with AVN,₹4.25 Lakh,"Bazaar, Bangalore",Feb 2010,Expired,Petrol,"67,000 Kms",Bangalore,Second Owner
2019 Volvo S90 D4 Inscription BSIV,₹35 Lakh,"Nagavara, Bangalore",Jan 2019,Expired,Diesel,"55,100 Kms",Bangalore,Second Owner
2018 Audi Q3 30 TFSI Premium FWD,₹24.99 Lakh,"BTM Layout, Bangalore",Jan 2018,Expired,Petrol,"50,143 Kms",Bangalore,First Owner
2024 Force Gurkha 2.6 Diesel,₹18.50 Lakh,"R T Nagar, Bangalore",Jun 2024,Comprehensive,Diesel,"2,000 Kms",Bangalore,First Owner
2020 Hyundai Grand i10 Nios AMT Sportz,₹6.29 Lakh,"Jakkur, Bangalore",Jun 2020,Zero Dep,Petrol,"58,572 Kms",Bangalore,First Owner
2013 Mini Cooper S Carbon Edition,₹17.45 Lakh,"R T Nagar, Bangalore",Jun 2013,Comprehensive,Petrol,"29,000 Kms",Bangalore,Third Owner
2023 Kia Sonet HTX Turbo iMT,₹11.25 Lakh,"Amruthahalli, Bangalore",Mar 2023,Comprehensive,Petrol,"9,495 Kms",Bangalore,First Owner
2023 Citroen C5 Aircross Shine Dual Tone,₹29.50 Lakh,"Pulkeshi Nagar, Bangalore",Jun 2023,Comprehensive,Diesel,"24,000 Kms",Bangalore,First Owner
2022 Skoda Slavia 1.0 TSI Style AT BSVI,₹13.74 Lakh,"Jakkur, Bangalore",Apr 2022,Comprehensive,Petrol,"24,187 Kms",Bangalore,First Owner
2022 Kia Sonet HTX Diesel AT BSVI,₹11.25 Lakh,"Amruthahalli, Bangalore",Feb 2022,Comprehensive,Diesel,"41,000 Kms",Bangalore,Second Owner
2022 Hyundai Venue S Turbo iMT,₹8.97 Lakh,"Amruthahalli, Bangalore",Jun 2022,Comprehensive,Petrol,"38,396 Kms",Udupi,First Owner
2021 Hyundai Venue SX Turbo iMT,₹8.85 Lakh,"Amruthahalli, Bangalore",Dec 2021,Comprehensive,Petrol,"30,275 Kms",Bangalore,First Owner
2014 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.15 Lakh,"Yelahanka, Bangalore",Dec 2014,Comprehensive,Petrol,"47,474 Kms",Mangalore,First Owner
2021 Mercedes-Benz E-Class Exclusive E 200,₹61 Lakh,"R T Nagar, Bangalore",Oct 2022,Comprehensive,Petrol,"15,000 Kms",Bangalore,First Owner
2014 Hyundai i20 Asta 1.2,₹5.56 Lakh,"Yelahanka, Bangalore",Sept 2014,Comprehensive,Petrol,"35,643 Kms",Bangalore,First Owner
2021 Hyundai Alcazar Signature (O) AT,₹17.45 Lakh,"Magadi Road, Bangalore",Jan 2022,Comprehensive,Petrol,"38,069 Kms",Bangalore,First Owner
2023 Hyundai Tucson Signature AT,₹32.11 Lakh,"Adugodi, Bangalore",Jun 2023,Comprehensive,Petrol,"7,350 Kms",Bangalore,First Owner
2021 Tata Harrier XTA Plus AT BSVI,₹18.49 Lakh,"Magadi Road, Bangalore",Oct 2021,Comprehensive,Diesel,"48,375 Kms",Udupi,First Owner
2020 Mahindra Bolero B6 Opt BSVI,₹7.99 Lakh,"Bazaar, Bangalore",Dec 2020,Expired,Diesel,"1,25,000 Kms",Bangalore,First Owner
2023 Maruti Alto K10 VXI Plus,₹5.08 Lakh,"Mahadevapura, Bangalore",Apr 2023,Comprehensive,Petrol,"5,846 Kms",Bangalore,First Owner
2021 Mercedes-Benz A-Class Limousine A 200 BSVI,₹35 Lakh,"Indiranagar, Bangalore",Jul 2021,Comprehensive,Petrol,"13,700 Kms",Bangalore,Second Owner
2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.27 Lakh,"Yelahanka, Bangalore",Jun 2017,Comprehensive,Petrol,"42,324 Kms",Bangalore,Third Owner
2015 Maruti Alto K10 VXI AMT,₹3.55 Lakh,"Yelahanka, Bangalore",Jun 2015,Comprehensive,Petrol,"42,000 Kms",Bangalore,First Owner
2021 Renault KWID 1.0 RXL BSVI,₹4.35 Lakh,"Yelahanka, Bangalore",Dec 2021,Comprehensive,Petrol,"27,125 Kms",Bangalore,First Owner
2021 Tata Nexon XZA Plus AMT S,₹10.69 Lakh,"Amruthahalli, Bangalore",Aug 2021,Comprehensive,Petrol,"14,907 Kms",Bangalore,First Owner
2016 Maruti Celerio VXI,₹3.38 Lakh,"Yelahanka, Bangalore",Feb 2017,Comprehensive,Petrol,"44,051 Kms",Mysore,Third Owner
2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹14.91 Lakh,"Adugodi, Bangalore",Aug 2022,Comprehensive,Petrol,"29,000 Kms",Bangalore,First Owner
2021 Mercedes-Benz E-Class Exclusive E 220d,₹60 Lakh,"R T Nagar, Bangalore",Dec 2021,Comprehensive,Diesel,"24,000 Kms",KA71,First Owner
2020 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹6.09 Lakh,"Yelahanka, Bangalore",May 2020,Comprehensive,Petrol,"22,152 Kms",Bangalore,First Owner
2018 Maruti Celerio ZXI MT BSIV,₹4.34 Lakh,"Yelahanka, Bangalore",Dec 2018,Zero Dep,Petrol,"45,137 Kms",Bangalore,First Owner
2022 Hyundai Venue SX Opt Turbo DCT BSVI,₹12.95 Lakh,"Yelahanka, Bangalore",Jun 2022,Comprehensive,Petrol,"9,453 Kms",Bangalore,First Owner
2021 Nissan Kicks 1.3 Turbo XV,₹9.95 Lakh,"Amruthahalli, Bangalore",Jun 2021,Comprehensive,Petrol,"26,701 Kms",Bangalore,First Owner
2022 Jeep Compass Model S 4X4 Diesel AT BSVI,₹27.75 Lakh,"Marathahalli Colony, Bangalore",Sept 2022,Comprehensive,Diesel,"24,228 Kms",Bangalore,First Owner
2021 Volkswagen Tiguan 2.0 TSI Elegance BSVI,₹29.95 Lakh,"BTM Layout, Bangalore",Jun 2021,Expired,Petrol,"33,540 Kms",Bangalore,First Owner
2020 Mercedes-Benz C-Class Prime C 220d,₹38.50 Lakh,"Adugodi, Bangalore",Oct 2021,Comprehensive,Diesel,"29,000 Kms",Mangalore,First Owner
2022 Skoda Kushaq 1.5 TSI Monte Carlo DSG BSVI,₹17.97 Lakh,"Adugodi, Bangalore",Dec 2022,Comprehensive,Petrol,"11,000 Kms",Bangalore,First Owner
2021 Land Rover Defender 2.0 110 SE,₹1.11 Crore,"R T Nagar, Bangalore",Oct 2021,Comprehensive,Petrol,"36,000 Kms",Gulbarga,First Owner
2018 Mercedes-Benz GLC 220d 4MATIC Sport,₹34.95 Lakh,"Adugodi, Bangalore",Oct 2019,Comprehensive,Diesel,"56,695 Kms",Bangalore,Second Owner
2022 Renault Kiger RXZ,₹5.75 Lakh,"Jakkur, Bangalore",Jul 2022,Comprehensive,Petrol,"1,08,993 Kms",Udupi,First Owner
2020 Mercedes-Benz C-Class AMG Line C 300d,₹45 Lakh,"R T Nagar, Bangalore",Jan 2021,Comprehensive,Diesel,"18,000 Kms",Bangalore,Second Owner
2016 Mahindra XUV500 W8 2WD,₹9.25 Lakh,"Ramamurthy Nagar, Bangalore",Sept 2016,Comprehensive,Diesel,"89,586 Kms",Bangalore,Second Owner
2020 Kia Seltos GTX Plus DCT,₹14.97 Lakh,"Jp Nagar Iii Phase, Bangalore",Jan 2020,Comprehensive,Petrol,"14,316 Kms",Bangalore,First Owner
2017 Maruti Baleno Alpha Diesel,₹5.93 Lakh,"Jakkur, Bangalore",Jul 2017,Comprehensive,Diesel,"84,605 Kms",Bangalore,First Owner
2017 Honda WR-V i-VTEC VX,₹6.78 Lakh,"Mahadevapura, Bangalore",Jul 2017,Comprehensive,Petrol,"32,115 Kms",Bangalore,First Owner
2023 Maruti Alto K10 LXI,₹4.66 Lakh,"Singasandra, Bangalore",Dec 2023,Comprehensive,Petrol,"2,455 Kms",Bangalore,First Owner
2019 Audi Q3 35 TDI Quattro Technology,₹23.95 Lakh,"BTM Layout, Bangalore",Jan 2019,Expired,Diesel,"88,881 Kms",Bangalore,First Owner
2022 Nissan Magnite XV Red Edition BSVI,₹7 Lakh,"Btm Layout, Bangalore",Feb 2023,Expired,Petrol,"38,465 Kms",Bangalore,First Owner
2023 Hyundai i20 Magna,₹7.40 Lakh,"Btm Layout, Bangalore",Apr 2023,Expired,Petrol,"26,000 Kms",Bangalore,First Owner
2022 Tata Nexon XZA Plus (O) AMT,₹11.50 Lakh,"Yelahanka, Bangalore",Oct 2022,Comprehensive,Petrol,"15,605 Kms",Bangalore,First Owner
2011 Maruti Wagon R VXI 1.2,₹2.71 Lakh,"Marathahalli Colony, Bangalore",Apr 2011,Comprehensive,Petrol,"77,939 Kms",Bangalore,Second Owner
2012 Hyundai i10 Sportz AT,₹3.65 Lakh,"Adugodi, Bangalore",Nov 2012,Expired,Petrol,"57,000 Kms",Bangalore,Second Owner
2017 Honda Jazz 1.2 V AT i VTEC,₹5.92 Lakh,"Jakkur, Bangalore",Jul 2017,Comprehensive,Petrol,"33,053 Kms",Bangalore,First Owner
2011 Maruti Wagon R VXI 1.2,₹2.77 Lakh,"Marathahalli Colony, Bangalore",Jun 2011,Comprehensive,Petrol,"63,122 Kms",Bangalore,Second Owner
2017 Mahindra TUV 300 mHAWK100 T8,₹6.25 Lakh,"Jakkur, Bangalore",2017,Comprehensive,Diesel,"1,20,000 Kms",Bangalore,First Owner
2020 Tata Tiago 1.2 Revotron XZ Plus,₹6.27 Lakh,"Samethanahalli, Bangalore",Dec 2020,Comprehensive,Petrol,"15,389 Kms",Bangalore,First Owner
2018 Skoda Superb Style 1.8 TSI AT,₹17.75 Lakh,"Adugodi, Bangalore",Oct 2018,Comprehensive,Petrol,"48,000 Kms",Bangalore,Second Owner
2014 Hyundai Grand i10 Sportz,₹4.50 Lakh,"City, Bangalore",Nov 2014,Comprehensive,Petrol,"33,000 Kms",Bangalore,First Owner
